總機構代號,機構代號,機構名稱,地址,電話,負責人,異動日期,金融機構網址,公告日期
004,0041447,臺灣銀行內壢分行,桃園市中壢區興農路125號一、二樓,03-4618519,牟顯川,20230704,,20240327
004,0041469,臺灣銀行臺南科學園區分行,台南市新市區南科三路15號1樓,06-5051701,陳兪吟,20111230,,20240327
004,0041470,臺灣銀行虎尾分行,雲林縣虎尾鎮林森路二段369號一至二樓、371號一至二樓及373號一樓,05-6337367,許玉芳,20111230,,20240327
004,0041481,臺灣銀行淡水分行,新北市淡水區中山路93號一至三樓及地下一樓,02-26281111,王淑玲,20111230,,20240327
004,0041539,臺灣銀行內湖分行,台北市內湖區內湖路一段396號一、二樓及398號一樓,02-87977933,許素蕊,20120109,,20240327
004,0041540,臺灣銀行嘉北分行,嘉義市東區忠孝路602號一至六樓及地下一樓,05-2718911,陳漢林,20230629,,20240327
004,0041551,臺灣銀行東港分行,屏東縣東港鎮新勝街105號1-3樓,08-8323131,李彩榮,20111230,,20240327
004,0041562,臺灣銀行汐止分行,新北市汐止區大同路二段一七五號一樓,02-86926822,陳秀雲,20111230,,20240327
004,0041573,臺灣銀行梧棲分行,台中市梧棲區建五路2號一、二樓,04-26565111,葉永良,20210519,,20240327
004,0041595,臺灣銀行小港分行,高雄市小港區宏平路410號一、二樓,07-8010399,劉明玲,20111230,,20240327
004,0041609,臺灣銀行中屏分行,屏東縣屏東市中華路九號一至三樓,08-7677001,胡寶惠,20230629,,20240327
004,0041610,臺灣銀行南非分行,11 CRADOCK AVE. ROSEBANK 2196 JOHANNESBURG  SOUTH AFRICA,27-11-880-8008,霍霖,20200116,,20240327
004,0041621,臺灣銀行群賢分行,台北市中正區中山南路一號一樓及地下一樓,02-23411001,林秀蘭,20120109,,20240327
004,0041643,臺灣銀行北大路分行,新竹市東區民權路267號,03-5354381,楊惠安,20170329,,20240327
004,0041654,臺灣銀行文山分行,台北市文山區羅斯福路六段218號一、二樓,02-86633456,簡秀鶯,20111230,,20240327
004,0041702,臺灣銀行太平分行,台中市太平區中興東路146號1，2樓及部分地下一樓,04-22736666,楊保鴻,20120109,,20240327
004,0041713,臺灣銀行德芳分行,台中市大里區德芳路一段六三號一樓,04-24853280,凃玉鳳,20111230,,20240327
004,0041724,臺灣銀行建國分行,桃園市中壢區健行路169號一、二、三樓,03-4670081,謝文馨,20180426,,20240327
004,0041768,臺灣銀行屏東農科園區分行,屏東縣長治鄉德和村農科路23號,08-7626611,薛麗蘭,20140624,,20240327
004,0041861,臺灣銀行東桃園分行,桃園市桃園區經國路298、300號一、二樓,03-3263888,陳沛晴,20230704,,20240327
004,0041872,臺灣銀行蘆洲分行,新北市蘆洲區三民路五十號一、二樓及部分地下一樓,02-82868686,陳美杏,20111230,,20240327
004,0041919,臺灣銀行高雄國際機場分行,高雄市小港區中山四路二號國際航廈一樓及地下室,07-8017564,駱麗美,20111230,,20240327
004,0041931,臺灣銀行永吉簡易型分行,台北市松山區松仁路三號三樓,02-27209856,吳燈燃,20111230,,20240327
004,0041942,臺灣銀行東門簡易型分行,臺北市中正區東門里15鄰紹興南街21號,02-23943168,金培芳,20160908,,20240327
004,0041953,臺灣銀行愛國簡易型分行,台北市大安區愛國東路31號一樓,02-23960017,金培芳,20111230,,20240327
004,0041986,臺灣銀行臺電簡易型分行,台北市中正區羅斯福路3段242號一樓,02-23667506,李樹森,20111230,,20240327
004,0042053,臺灣銀行北府簡易型分行,新北市板橋區中山路一段161號地下一樓,02-89535968,房秀岱,20111230,,20240327
004,0042101,臺灣銀行倫敦分行,Level 17， 99 Bishopsgate， London EC2M 3XD，U.K.,44-20-73824530,曹健行,20180925,,20240327
004,0042189,臺灣銀行臺北港分行,新北市八里區商港路123號2樓,02-2619-6269,高良興,20111230,,20240327
004,0042204,臺灣銀行臺中科學園區分行,台中市大雅區中科路6號2樓之5、之6,04-25658111,洪榮賜,20111230,,20240327
004,0042215,臺灣銀行高雄科學園區分行,高雄市路竹區路科5路23號1至3樓,07-6955268,余育芳,20150318,,20240327
004,0042237,臺灣銀行東湖分行,台北市內湖區成功路5段458號1樓,02-26305768,劉良泉,20111230,,20240327
004,0042248,臺灣銀行高榮分行,高雄市左營區重信路415號1、2、3樓,07-3432258,王忠寶,20111230,,20240327
004,0042259,臺灣銀行南港軟體園區分行,台北市南港區三重路66號2樓之2,02-27833009,劉淑貞,20120113,,20240327
004,0042260,臺灣銀行龍潭分行,桃園市龍潭區東龍路142號1、2、3樓及龍青路2號1樓,03-4790888,李淑炳,20180426,,20240327
004,0042271,臺灣銀行仁德分行,台南市仁德區中正路2段899號1、2樓,06-2492389,鄭麗娟,20111230,,20240327
004,0042282,臺灣銀行林口分行,桃園市龜山區大華村復興ㄧ路368號,03-3277299,邱淑君,20230704,,20240327
004,0042293,臺灣銀行木柵分行,台北市文山區新光路一段145號1.2樓,02-86615115,林秀禎,20111230,,20240327
004,0042307,臺灣銀行臺南創新園區分行,臺南市安南區科技公園大道18號,06-3842585,陳麗琴,20221004,,20240327
004,0042363,臺灣銀行武昌分行,台北市中正區武昌街1段49號,02-23493456,倪明祥,20111230,,20240327
004,0042385,臺灣銀行臺北分行,台北市中山區松江路80號,02-25435790,雷麗青,20111230,,20240327
004,0042396,臺灣銀行金山分行,台北市大安區金山南路2段189號1至4樓,02-23413006,趙秀蓮,20111230,,20240327
004,0042400,臺灣銀行信安分行,台北市大安區信義路3段132號1至3樓及地下1樓,02-27057905,李美鳳,20150717,,20240327
004,0042411,臺灣銀行劍潭分行,台北市士林區承德路4段174號1、2樓,02-28831633,林玲珠,20111230,,20240327
004,0042422,臺灣銀行萬華分行,台北市萬華區貴陽街2段26號1、2樓及地下室,02-23830066,陳寶真,20111230,,20240327
004,0042433,臺灣銀行板新分行,新北市板橋區文化路1段268號1樓,02-22540560,陳玫妏,20111230,,20240327
004,0042444,臺灣銀行新永和分行,新北市永和區仁愛路91、93、95、97、99號，1及2樓,02-29211808,汪秀慧,20150922,,20240327
004,0042455,臺灣銀行南新莊分行,新北市新莊區中正路653、653之1號,02-29012999,余秋伶,20111230,,20240327
004,0042477,臺灣銀行新明分行,桃園市中壢區新明路7號1、2樓及地下1樓,03-4951301,陳泰喜,20230704,,20240327
004,0042488,臺灣銀行六家分行,新竹縣竹北市文興路二段32號1樓、2樓、3樓,03-6585858,謝妙瑛,20181128,,20240327
004,0042499,臺灣銀行北臺中分行,台中市北區進化北路369號1~3樓,04-22077412,黃木伸,20161021,,20240327
004,0042525,臺灣銀行嘉南分行,嘉義市西區中興路353號1、2樓B室,05-2348686,陳玉玲,20230629,,20240327
004,0042536,臺灣銀行南都分行,台南市中西區忠義路2段180號,06-2219999,張忠財,20111230,,20240327
004,0042558,臺灣銀行北高雄分行,高雄市左營區博愛二路106號1、2樓,07-5581900,張時敏,20111230,,20240327
004,0042569,臺灣銀行成功分行,高雄市苓雅區成功一路261號,07-2512031,洪堅信,20111230,,20240327
004,0042570,臺灣銀行北花蓮分行,花蓮縣花蓮市林森路281號一、二樓,03-8361163,李瓊香,20130806,,20240327
004,0042709,臺灣銀行新湖分行,臺北市內湖區瑞光路102號1樓,02-87927988,張文燕,20211004,,20240327
004,0042710,臺灣銀行五福分行,高雄市苓雅區四維二路52號一、二樓,07-7271606,曾淑郁,20111230,,20240327
004,0042721,臺灣銀行六甲頂分行,台南市永康區中正南路41號1樓及41之1號2樓,06-2810991,林銘鈺,20111230,,20240327
004,0042776,臺灣銀行上海分行,中國大陸上海市靜安區南京西路1788號30樓,86-21-3256-9900,陳清溝,20120808,,20240327
004,0042787,臺灣銀行中都分行,台中市西屯區臺灣大道三段99號1樓,04-22589611,許萌馨,20130426,,20240327
004,0042798,臺灣銀行臺北國際機場分行,台北市松山區敦化北路340之9號及338之4號,02-27187628,許美芳,20111230,,20240327
004,0042802,臺灣銀行新莊副都心分行,新北市新莊區頭前路119號1樓及121號1-3樓,02-22773000,吳淑芬,20230629,,20240327
004,0042813,臺灣銀行孟買代表人辦事處,Level 11，Platina，C-59，G-Block，BKC，Bandra(East)，Mumbai，India 400051,91-22-6884-1454,陳王川,20220630,,20240327
004,0042824,臺灣銀行雪梨分行,Suite 10.02， Level 10， Chifley Tower， 2 Chifley Square， Sydney， NSW 2000， Australia,+61 2 8051 5300,金元虎,20180116,,20240327
004,0042835,臺灣銀行仁武分行,高雄市仁武區八德南路139號,07-3752999,王儷娟,20140624,,20240327
004,0042846,臺灣銀行上海嘉定支行,中國大陸上海市嘉定區銀翔路819弄1號2樓203室,86-21-5910-5311,陳玉隆,20210524,,20240327
004,0042868,臺灣銀行仰光代表人辦事處,Rose Garden Offices，Unit1&2，1st Floor，No.171，Upper Pansodan Road，Mingalar Taung Nyunt Township，Yangon，Myanmar.,95-1-371992,晏國祥,20151215,,20240327
004,0042879,臺灣銀行廣州分行,中國大陸廣東省廣州市天河區珠江西路5號廣州國際金融中心主塔寫字樓24樓第2404、2405、2406單元,86-20-8367-3000,劉惠娟,20211022,,20240327
004,0042880,臺灣銀行福州分行,中國大陸福州市台江區光明南路1號升龍匯金中心39樓3908室,86-591-8361-3189,韓丕明,20200116,,20240327
004,0042891,臺灣銀行臺中國際機場分行,臺中市沙鹿區中航路1段168號,04-26152668,賴淑滿,20170106,,20240327
004,0042905,臺灣銀行臺中精密園區分行,臺中市南屯區精科東路17號,04-23554777,王盟昇,20230627,,20240327
004,0042916,臺灣銀行胡志明市代表人辦事處,Rm 503-1，5F，Royal Tower B，Royal Centre Building，235 Nguyen Van Cu Street，Nguyen Cu Trinh Ward，District 1，Ho Chi Minh Cit,+84-28-3925-3096,張淑貞,20220421,,20240327
004,0042927,臺灣銀行曼谷代表人辦事處,Unit 3，22th Floor， AIA Sathorn Tower，11/1 South Sathorn Road， Yannawa， Sathorn， Bangkok 10120， Thailand,66-2-046-4926,顧劍玉,20180116,,20240327
004,0042938,臺灣銀行雅加達代表人辦事處,Gedung Artha Graha Lt 26， 26-03 SCBD， Jl. Jend. Sudirman Kav. 52-53， Jakarta 12190， Indonesia,+62-21-5153386,廖昭男,20220421,,20240327
004,0042949,臺灣銀行馬尼拉代表人辦事處,Unit1404，Tower One & Exchange Plaza Ayala Triangle， Ayala Avenue 1226 Makati City Philippines,632-5310-1688,唐永興,20191007,,20240327
004,0042950,臺灣銀行矽谷代表人辦事處,75E. Santa Clara St.， Suite 1210， San Jose， CA 95113， USA,1-408-9630451,張文祥,20190923,,20240327
004,0042961,臺灣銀行法蘭克福代表人辦事處,4th Floor， Bockenheimer Landstrasse 51-53， 60325 Frankfurt am Main， Germany,+49-69-977-8876-00,陳孫鎧,20211001,,20240327
004,0042972,臺灣銀行亞矽創新分行,桃園市中壢區青峰路1段37、41號1-2樓,03-2873970,趙明哲,20190322,,20240327
004,0043005,臺灣銀行吉隆坡代表人辦事處,Unit 1-30-3A， Level 30， Menara Bangkok Bank， No. 105， Jalan Ampang， 50450 Kuala Lumpur， Malaysia.,+60-3-2181-1616,林淑玲,20210602,,20240327
004,0043027,臺灣銀行鳳凰城代表人辦事處,22601 N. 19th Ave. Suite 216， Phoenix， AZ 85027， USA,1-623-600-8932,宋東榮,20220720,,20240327
005,,臺灣土地銀行股份有限公司,臺北市中正區館前路46號,02-23483456,,20240116,http://www.landbank.com.tw,20240327
005,0050027,臺灣土地銀行基隆分行,基隆市中正區義一路18號1-4樓,02-24210200,洪雪媚,20230629,,20240327
005,0050038,臺灣土地銀行中和分行,新北市中和區景平路323號,02-29461123,蘇麗惠,20120221,,20240327
005,0050049,臺灣土地銀行南港分行,台北市南港區南港路1段364號1、2、3、5樓,02-27834161,李華芳,20230629,,20240327
005,0050050,臺灣土地銀行台北分行,台北市中正區博愛路72號,02-23713241,詹瑤娟,20230629,,20240327
005,0050061,臺灣土地銀行民權分行,台北市中山區民權西路26號,02-25629801,陳嘉臨,20230629,,20240327
005,0050072,臺灣土地銀行古亭分行,台北市大安區羅斯福路三段125號,02-23634747,臧晏苹,20230629,,20240327
005,0050083,臺灣土地銀行長安分行,台北市中山區長安東路二段52號,02-25238166,陳美真,20230629,,20240327
005,0050094,臺灣土地銀行士林分行,台北市士林區中山北路五段689號,02-28341361,葉惠真,20230629,,20240327
005,0050108,臺灣土地銀行三重分行,新北市三重區重新路二段1-8.9.10號,02-89712222,許景德,20230629,,20240327
005,0050119,臺灣土地銀行宜蘭分行,宜蘭縣宜蘭市光復路43號1至4樓,03-9361101,吳天富,20190213,,20240327
005,0050120,臺灣土地銀行羅東分行,宜蘭縣羅東鎮公正路158號,03-9571111,黃建誠,20230629,,20240327
005,0050131,臺灣土地銀行桃園分行,桃園市桃園區中正路75號,03-3379911,徐明洸,20150129,,20240327
005,0050142,臺灣土地銀行中壢分行,桃園市中壢區中山路190號,03-4253140,杜啟民,20230629,,20240327
005,0050153,臺灣土地銀行石門分行,桃園市龍潭區北龍路49號,03-4792101,洪惠瑛,20230629,,20240327
005,0050164,臺灣土地銀行新竹分行,新竹市北區中央路1號,03-5213211,蔡錫坤,20230629,,20240327
005,0050175,臺灣土地銀行竹東分行,新竹縣竹東鎮東林路10號,03-5961171,張要玲,20230629,,20240327
005,0050186,臺灣土地銀行花蓮分行,花蓮縣花蓮市中山路356號,03-8312601,鄭靜娟,20191030,,20240327
005,0050197,臺灣土地銀行玉里分行,花蓮縣玉里鎮中山路二段51號,03-8886181,楊財源,20120221,,20240327
005,0050201,臺灣土地銀行苗栗分行,苗栗縣苗栗市中正路402號,037-320531,廖淑美,20230629,,20240327
005,0050212,臺灣土地銀行頭份分行,苗栗縣頭份市中華路932號,037-667185,林莉曼,20230629,,20240327
005,0050223,臺灣土地銀行豐原分行,臺中市豐原區中山路508號,04-25242191,李麗雪,20191030,,20240327
